,None,ticker,date,open,high,low,close,volume,dividends,closeunadj,lastupdated,performance
0,2519,A,2010-10-07,32.93,33.52,32.84,33.2,3737200.0,0.0,33.2,2018-06-13,
1,2518,A,2010-10-08,33.21,33.92,32.99,33.8,2863400.0,0.0,33.8,2018-06-13,101.80722891566263
2,2517,A,2010-10-11,33.77,33.97,33.55,33.75,1917200.0,0.0,33.75,2018-06-13,101.65662650602407
3,2516,A,2010-10-12,33.61,33.92,33.29,33.68,3442200.0,0.0,33.68,2018-06-13,101.4457831325301
4,2515,A,2010-10-13,33.95,34.48,33.9,34.31,3198500.0,0.0,34.31,2018-06-13,103.34337349397589
5,2514,A,2010-10-14,34.28,34.35,34.03,34.23,2913100.0,0.0,34.23,2018-06-13,103.10240963855419
6,2513,A,2010-10-15,34.6,34.74,34.08,34.48,2781700.0,0.0,34.48,2018-06-13,103.85542168674698
7,2512,A,2010-10-18,34.49,34.77,34.13,34.66,2067000.0,0.0,34.66,2018-06-13,104.39759036144578
8,2511,A,2010-10-19,34.13,34.46,33.56,34.02,3991900.0,0.0,34.02,2018-06-13,102.46987951807229
9,2510,A,2010-10-20,34.14,34.85,34.09,34.66,2494000.0,0.0,34.66,2018-06-13,104.39759036144578
10,2509,A,2010-10-21,34.79,35.0,34.42,34.75,3059100.0,0.0,34.75,2018-06-13,104.66867469879517
11,2508,A,2010-10-22,34.74,34.92,34.52,34.75,2518900.0,0.0,34.75,2018-06-13,104.66867469879517
12,2507,A,2010-10-25,35.03,35.16,34.75,34.9,2651000.0,0.0,34.9,2018-06-13,105.12048192771081
13,2506,A,2010-10-26,34.63,35.0,34.4,34.8,3200100.0,0.0,34.8,2018-06-13,104.81927710843371
14,2505,A,2010-10-27,34.48,34.76,34.17,34.59,1656800.0,0.0,34.59,2018-06-13,104.1867469879518
15,2504,A,2010-10-28,35.13,35.33,34.42,34.92,2396000.0,0.0,34.92,2018-06-13,105.18072289156626
16,2503,A,2010-10-29,34.82,35.01,34.62,34.8,1933900.0,0.0,34.8,2018-06-13,104.81927710843372
17,2502,A,2010-11-01,34.94,35.12,34.38,34.75,2064000.0,0.0,34.75,2018-06-13,104.66867469879517
18,2501,A,2010-11-02,34.98,35.19,34.78,35.06,2095900.0,0.0,35.06,2018-06-13,105.6024096385542
19,2500,A,2010-11-03,35.18,35.28,34.56,35.11,2398300.0,0.0,35.11,2018-06-13,105.75301204819274
20,2499,A,2010-11-04,35.5,36.04,35.41,35.99,2758700.0,0.0,35.99,2018-06-13,108.40361445783131
21,2498,A,2010-11-05,35.97,36.4,35.85,36.38,2334200.0,0.0,36.38,2018-06-13,109.57831325301204
22,2497,A,2010-11-08,36.15,36.38,35.84,36.18,1863900.0,0.0,36.18,2018-06-13,108.97590361445782
